CodEstacao,NomeEstacao,Bacia,SubBacia,Operadora,Responsavel,Municipio-UF,Latitude,Longitude,Altitude,CodRio,NomeRio,Origem,StatusEstacao
49208020,UHE APOLÔNIO SALES (MOXOTÓ) RESERVATÓRIO 7,4,49,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,DELMIRO GOUVÉIA-AL,-9.23470,-38.23470,0.00,40001000,RIO SÃO FRANCISCO,Setor Elétrico,Ativo
49208030,UHE APOLÔNIO SALES (MOXOTÓ) RESERVATÓRIO 6,4,49,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,DELMIRO GOUVÉIA-AL,-9.27110,-38.16610,0.00,40001000,RIO SÃO FRANCISCO,Setor Elétrico,Ativo
49208040,UHE APOLÔNIO SALES (MOXOTÓ) RESERVATÓRIO 5,4,49,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,DELMIRO GOUVÉIA-AL,-9.31250,-38.22080,0.00,40001000,RIO SÃO FRANCISCO,Setor Elétrico,Ativo
49208050,UHE APOLÔNIO SALES (MOXOTÓ) RESERVATÓRIO 4,4,49,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,DELMIRO GOUVÉIA-AL,-9.34310,-38.23940,0.00,40001000,RIO SÃO FRANCISCO,Setor Elétrico,Ativo
49208060,UHE APOLÔNIO SALES (MOXOTÓ) RESERVATÓRIO 3,4,49,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,DELMIRO GOUVÉIA-AL,-9.34890,-38.34890,0.00,40001000,RIO SÃO FRANCISCO,Setor Elétrico,Ativo
49208070,UHE APOLÔNIO SALES (MOXOTÓ) RESERVATÓRIO 2,4,49,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,DELMIRO GOUVÉIA-AL,-9.36330,-38.24440,0.00,40001000,RIO SÃO FRANCISCO,Setor Elétrico,Ativo
49208080,UHE APOLÔNIO SALES (MOXOTÓ) BARRAMENTO,4,49,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,DELMIRO GOUVÉIA-AL,-9.35750,-38.20750,230.00,40001000,RIO SÃO FRANCISCO,Setor Elétrico,Ativo
49208090,UHE APOLÔNIO SALES (MOXOTÓ) RESERVATÓRIO 1,4,49,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,DELMIRO GOUVÉIA-AL,-9.37670,-38.23390,0.00,40001000,RIO SÃO FRANCISCO,Setor Elétrico,Ativo
49210040,UHE PAULO AFONSO IV RESERVATÓRIO 3,4,49,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,PAULO AFONSO-BA,-9.40860,-38.23000,0.00,40001000,RIO SÃO FRANCISCO,Setor Elétrico,Ativo
49210045,UHE PAULO AFONSO IV RESERVATÓRIO 4,4,49,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,PAULO AFONSO-BA,-9.41640,-38.24360,0.00,40001000,RIO SÃO FRANCISCO,Setor Elétrico,Ativo
49210050,"UHEs PAULO AFONSO I, II e III RESERVATÓRIO 1",4,49,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,PAULO AFONSO-BA,-9.36920,-38.21560,0.00,40001000,RIO SÃO FRANCISCO,Setor Elétrico,Ativo
49210060,UHE PAULO AFONSO IV RESERVATÓRIO 1,4,49,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,PAULO AFONSO-BA,-9.41390,-38.21500,0.00,40001000,RIO SÃO FRANCISCO,Setor Elétrico,Ativo
49210070,UHE PAULO AFONSO IV BARRAMENTO,4,49,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,PAULO AFONSO-BA,-9.41670,-38.20830,0.00,40001000,RIO SÃO FRANCISCO,Setor Elétrico,Ativo
49210075,UHE PAULO AFONSO IV RESERVATÓRIO 2,4,49,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,PAULO AFONSO-BA,-9.42670,-38.22500,0.00,40001000,RIO SÃO FRANCISCO,Setor Elétrico,Ativo
49210080,"UHEs PAULO AFONSO I, II e III BARRAMENTO",4,49,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,PAULO AFONSO-BA,-9.39080,-38.20330,230.00,40001000,RIO SÃO FRANCISCO,Setor Elétrico,Ativo
49210085,UHE PAULO AFONSO IV RESERVATÓRIO 5,4,49,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,PAULO AFONSO-BA,-9.43140,-38.24580,0.00,40001000,RIO SÃO FRANCISCO,Setor Elétrico,Ativo
49210090,"UHEs PAULO AFONSO I, II e III RESERVATÓRIO 2",4,49,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,PAULO AFONSO-BA,-9.39220,-38.20530,0.00,40001000,RIO SÃO FRANCISCO,Setor Elétrico,Ativo
49330970,UHE XINGÓ RESERVATÓRIO 11,4,49,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,CANINDÉ DE SÃO FRANCISCO-SE,-9.44060,-38.15500,0.00,40001000,RIO SÃO FRANCISCO,Setor Elétrico,Ativo
49330980,UHE XINGÓ RESERVATÓRIO 10,4,49,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,00080 - CHESF - Companhia Hidro Elétrica do São Francisco-CHESF,CANINDÉ DE SÃO FRANCISCO-SE,-9.43690,-38.09750,0.00,40001000,RIO SÃO FRANCISCO,Setor Elétrico,Ativo
