,NomeEstacao,CodEstacao,Bacia,SubBacia,Operadora,Responsavel,Municipio-UF,Latitude,Longitude,Altitude,CodRio,NomeRio,Origem,StatusEstacao
4139,PCH CARLOS GONZATTO VILA TURVO,74463000,7,74,00301 - CN ENERGIA - CN Energia S.A,00301 - CN ENERGIA - CN Energia S.A,CAMPO NOVO-RS,-27.70890,-53.77500,417.00,74301500,RIO TURVO,Setor Elétrico,Ativo
4140,PCH CARLOS GONZATTO BARRAMENTO,74464500,7,74,00301 - CN ENERGIA - CN Energia S.A,00301 - CN ENERGIA - CN Energia S.A,CAMPO NOVO-RS,-27.62470,-53.80280,772.00,74301500,RIO TURVO,Setor Elétrico,Ativo
4141,PCH CARLOS GONZATTO JUSANTE,74465000,7,74,00301 - CN ENERGIA - CN Energia S.A,00301 - CN ENERGIA - CN Energia S.A,CAMPO NOVO-RS,-27.62310,-53.80080,594.00,74301500,RIO TURVO,Setor Elétrico,Ativo
4142,PCH MARCO BALDO BARRAMENTO,74466000,7,74,00664 - SPE TURVO - SPE Turvo Energia S.A,00664 - SPE TURVO - SPE Turvo Energia S.A,BRAGA-RS,-27.57500,-53.78970,339.00,74301500,RIO TURVO,Setor Elétrico,Ativo
4143,PCH MARCO BALDO JUSANTE,74467000,7,74,00664 - SPE TURVO - SPE Turvo Energia S.A,00664 - SPE TURVO - SPE Turvo Energia S.A,BRAGA-RS,-27.56470,-53.78690,304.00,74301500,RIO TURVO,Setor Elétrico,Ativo
4144,PCH TOCA DO TIGRE BARRAMENTO,74468000,7,74,00508 - CJ HIDRO - CJ Hydro - Geração de Energia S. A,00508 - CJ HIDRO - CJ Hydro - Geração de Energia S. A,BRAGA-RS,-27.54530,-53.80690,398.00,74301500,RIO TURVO,Setor Elétrico,Ativo
4145,PCH TOCA DO TIGRE JUSANTE,74468500,7,74,00508 - CJ HIDRO - CJ Hydro - Geração de Energia S. A,00508 - CJ HIDRO - CJ Hydro - Geração de Energia S. A,BOM PROGRESSO-RS,-27.53530,-53.81500,319.00,74301500,RIO TURVO,Setor Elétrico,Ativo
4146,TRÊS PASSOS,74470000,7,74,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,TRÊS PASSOS-RS,-27.39220,-53.88080,240.00,74301500,RIO TURVO,CotaOnline,Ativo
4147,ALTO URUGUAI,74500000,7,74,00082 - CPRM - Cia de Pesquisa de Recursos Minerais,00001 - ANA - Agência Nacional de Águas ,TIRADENTES DO SUL-RS,-27.30190,-54.13970,119.00,70001000,RIO URUGUAI,RHN,Ativo
4148,CGH CAA YARI BARRAMENTO,74505200,7,74,00179 - CRELUZ G - CRELUZ G,00179 - CRELUZ G - CRELUZ G,CRISSIUMAL-RS,-27.42860,-54.12170,184.00,74301600,LAJEADO GRANDE,Setor Elétrico,Ativo
