BaciaCodigo,SubBaciaCodigo,RioCodigo,RioNome,EstadoCodigo,nmEstado,MunicipioCodigo,nmMunicipio,ResponsavelCodigo,ResponsavelSigla,ResponsavelUnidade,ResponsavelJurisdicao,OperadoraCodigo,OperadoraSigla,OperadoraUnidade,OperadoraSubUnidade,TipoEstacao,Codigo,Nome,CodigoAdicional,Latitude,Longitude,Altitude,AreaDrenagem,TipoEstacaoEscala,TipoEstacaoRegistradorNivel,TipoEstacaoDescLiquida,TipoEstacaoSedimentos,TipoEstacaoQualAgua,TipoEstacaoPluviometro,TipoEstacaoRegistradorChuva,TipoEstacaoTanqueEvapo,TipoEstacaoClimatologica,TipoEstacaoPiezometria,TipoEstacaoTelemetrica,PeriodoEscalaInicio,PeriodoEscalaFim,PeriodoRegistradorNivelInicio,PeriodoRegistradorNivelFim,PeriodoDescLiquidaInicio,PeriodoDescLiquidaFim,PeriodoSedimentosInicio,PeriodoSedimentosFim,PeriodoQualAguaInicio,PeriodoQualAguaFim,PeriodoPluviometroInicio,PeriodoPluviometroFim,PeriodoRegistradorChuvaInicio,PeriodoRegistradorChuvaFim,PeriodoTanqueEvapoInicio,PeriodoTanqueEvapoFim,PeriodoClimatologicaInicio,PeriodoClimatologicaFim,PeriodoPiezometriaInicio,PeriodoPiezometriaFim,PeriodoTelemetricaInicio,PeriodoTelemetricaFim,TipoRedeBasica,TipoRedeEnergetica,TipoRedeNavegacao,TipoRedeCursoDagua,TipoRedeEstrategica,TipoRedeCaptacao,TipoRedeSedimentos,TipoRedeQualAgua,TipoRedeClasseVazao,UltimaAtualizacao,Operando,Descricao,NumImagens,DataIns,DataAlt
6,65,65120000,RIO NEGRO,22,PARANÁ,22257000,SÃO MATEUS DO SUL,52,IAT-PR,,,52,IAT-PR,,,1,65175000,DIVISA,,-26.0914,-50.3339,770,8050,0,0,0,0,1,0,0,0,0,0,0,1963-12-01 00:00:00,2015-12-01 00:00:00,,,1963-12-01 00:00:00,2015-12-01 00:00:00,1999-05-01 00:00:00,2015-12-01 00:00:00,1984-04-01 00:00:00,,,,,,,,,,,,,,0,0,0,3,0,6,0,3,1,2018-12-17 00:00:00,1,RNQA_PR-8429-I-9,0,,2018-12-17 00:00:00
6,65,65120000,RIO NEGRO,22,PARANÁ,22257000,SÃO MATEUS DO SUL,28,COPEL,,,28,COPEL,,1,1,65175001,PCH DERIVAÇÃO DO RIO JORDÃO DIVISA,,-26.0914,-50.3339,770,8050,1,0,1,1,0,0,0,0,0,0,1,1963-12-01 00:00:00,,,,2003-03-01 00:00:00,,2023-08-01 00:00:00,,,,,,,,,,,,,,1997-09-01 00:00:00,,0,1,0,3,0,6,0,0,0,2023-05-11 00:00:00,1,RES. ANA/ANEEL N. 0,0,,2023-05-11 00:00:00
6,65,65120600,RIO CANOINHAS,23,SANTA CATARINA,23101000,MAJOR VIEIRA,1,ANA,27,1,52,IAT-PR,22,2,1,65180000,SALTO CANOINHAS,,-26.3722,-50.2881,793,772,1,0,1,1,1,0,0,0,0,0,0,1951-07-01 00:00:00,,,,1951-07-01 00:00:00,,1982-02-01 00:00:00,,1977-10-01 00:00:00,,,,,,,,,,,,,,0,0,0,3,0,7,0,3,1,2018-05-15 00:00:00,1,RNQA_PRSC-8429-IE-5,0,,2018-05-15 00:00:00
6,65,65120600,RIO CANOINHAS,23,SANTA CATARINA,23037000,CANOINHAS,1,ANA,27,1,1,ANA,,,1,65181000,MARCÍLIO DIAS,,-26.15,-50.3831,760,1430,0,0,0,0,0,0,0,0,0,0,0,1976-07-01 00:00:00,1982-01-01 00:00:00,,,1976-08-06 00:00:00,1981-11-26 00:00:00,,,,,,,,,,,,,,,,,1,0,0,9,0,7,0,10,1,2005-11-18 00:00:00,0,,0,,
6,65,65130250,CÓRREGO DO TIGRE,23,SANTA CATARINA,23037000,CANOINHAS,94,EPAGRI-SC,,,94,EPAGRI-SC,,,1,65182000,CÓRREGO DO TIGRE,EPAGRI,-26.2217,-50.4911,779,9.56,1,0,1,1,1,0,0,0,0,0,1,2005-05-01 00:00:00,,,,2005-05-01 00:00:00,,2005-05-01 00:00:00,,2005-05-01 00:00:00,,,,,,,,,,,,2005-05-01 00:00:00,,0,0,0,4,0,7,0,3,1,2014-09-12 00:00:00,1,,1,,2014-09-12 00:00:00
6,65,65130050,RIO BRAÇO DO POTINGA,22,PARANÁ,22257000,SÃO MATEUS DO SUL,1,ANA,27,1,1,ANA,,,1,65190000,BRAÇO DO POTINGA,,-25.8739,-50.6606,760,379,0,0,0,0,0,0,0,0,0,0,0,1941-11-01 00:00:00,1954-10-01 00:00:00,,,1941-11-01 00:00:00,1954-10-01 00:00:00,,,,,,,,,,,,,,,,,0,0,0,9,0,7,0,10,1,2005-11-18 00:00:00,0,,0,,
6,65,65130000,RIO POTINGA,22,PARANÁ,22257000,SÃO MATEUS DO SUL,1,ANA,27,1,1,ANA,,,1,65200000,PONTILHÃO,,-25.8667,-50.55,750,1930,0,0,0,0,0,0,0,0,0,0,0,1939-04-01 00:00:00,1965-07-01 00:00:00,,,1939-04-01 00:00:00,1965-07-01 00:00:00,,,,,,,,,,,,,,,,,0,0,0,9,0,7,0,10,1,2005-11-18 00:00:00,0,,0,,
6,65,65130000,RIO POTINGA,22,PARANÁ,22257000,SÃO MATEUS DO SUL,52,IAT-PR,,,52,IAT-PR,,,1,65208000,PONTILHÃO DO RIO POTINGA,,-25.9108,-50.5256,770,2210,1,0,1,0,1,0,0,0,0,0,0,1974-02-01 00:00:00,,,,1974-02-01 00:00:00,,,,1974-02-01 00:00:00,,,,,,,,,,,,,,0,1,0,3,0,6,0,0,1,2019-08-02 00:00:00,1,RNQA_PR-8421-I-17,0,,2019-08-02 00:00:00
6,65,65130000,RIO POTINGA,22,PARANÁ,22257000,SÃO MATEUS DO SUL,28,COPEL,,,28,COPEL,,,1,65208001,PONTILHÃO,,-25.9111,-50.5256,,2210,1,0,0,0,0,0,0,0,0,0,0,1997-05-01 00:00:00,,,,,,,,,,,,,,,,,,,,,,0,1,0,3,0,6,0,0,0,2014-09-01 00:00:00,1,,0,,2014-09-01 00:00:00
6,65,65100000,RIO IGUAÇU,23,SANTA CATARINA,23037000,CANOINHAS,49,CEESC,,,49,CEESC,,,1,65215000,PAULA PEREIRA,,-26.0667,-50.55,760,18600,0,0,0,0,0,0,0,0,0,0,0,1966-05-01 00:00:00,1971-04-01 00:00:00,,,1966-05-01 00:00:00,1971-04-01 00:00:00,,,,,,,,,,,,,,,,,0,0,0,3,0,6,0,0,1,2005-07-21 00:00:00,0,,0,,
