BaciaCodigo,SubBaciaCodigo,RioCodigo,RioNome,EstadoCodigo,nmEstado,MunicipioCodigo,nmMunicipio,ResponsavelCodigo,ResponsavelSigla,ResponsavelUnidade,ResponsavelJurisdicao,OperadoraCodigo,OperadoraSigla,OperadoraUnidade,OperadoraSubUnidade,TipoEstacao,Codigo,Nome,CodigoAdicional,Latitude,Longitude,Altitude,AreaDrenagem,TipoEstacaoEscala,TipoEstacaoRegistradorNivel,TipoEstacaoDescLiquida,TipoEstacaoSedimentos,TipoEstacaoQualAgua,TipoEstacaoPluviometro,TipoEstacaoRegistradorChuva,TipoEstacaoTanqueEvapo,TipoEstacaoClimatologica,TipoEstacaoPiezometria,TipoEstacaoTelemetrica,PeriodoEscalaInicio,PeriodoEscalaFim,PeriodoRegistradorNivelInicio,PeriodoRegistradorNivelFim,PeriodoDescLiquidaInicio,PeriodoDescLiquidaFim,PeriodoSedimentosInicio,PeriodoSedimentosFim,PeriodoQualAguaInicio,PeriodoQualAguaFim,PeriodoPluviometroInicio,PeriodoPluviometroFim,PeriodoRegistradorChuvaInicio,PeriodoRegistradorChuvaFim,PeriodoTanqueEvapoInicio,PeriodoTanqueEvapoFim,PeriodoClimatologicaInicio,PeriodoClimatologicaFim,PeriodoPiezometriaInicio,PeriodoPiezometriaFim,PeriodoTelemetricaInicio,PeriodoTelemetricaFim,TipoRedeBasica,TipoRedeEnergetica,TipoRedeNavegacao,TipoRedeCursoDagua,TipoRedeEstrategica,TipoRedeCaptacao,TipoRedeSedimentos,TipoRedeQualAgua,TipoRedeClasseVazao,UltimaAtualizacao,Operando,Descricao,NumImagens,DataIns,DataAlt
8,84,,,23,SANTA CATARINA,23096000,LEOBERTO LEAL,451,CEMADEN,21,1,451,CEMADEN,21,,2,2749080,LEOBERTO LEAL_Prefeitura Municipal,420980501,-27.5059,-49.2842,593,,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,2014-01-01 00:00:00,,,,,,,,,,2014-01-01 00:00:00,,0,0,0,0,0,7,0,0,0,,1,TELEMÉTRICA,0,2015-10-28 00:00:00,
8,83,,,23,SANTA CATARINA,23125000,PETROLÂNDIA,451,CEMADEN,21,1,451,CEMADEN,21,,2,2749081,PETROLÂNDIA_Prefeitura Municipal,421270001,-27.5322,-49.6989,424,,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,2014-01-01 00:00:00,,,,,,,,,,2014-01-01 00:00:00,,0,0,0,0,0,7,0,0,0,2015-11-11 00:00:00,1,TELEMÉTRICA,0,2015-10-28 00:00:00,2015-11-11 00:00:00
8,83,,,23,SANTA CATARINA,23189000,VIDAL RAMOS,451,CEMADEN,21,1,451,CEMADEN,21,,2,2749082,PRESIDENTE GETÚLIO_Est. Tifa da Pimenta,421400301,-27.4414,-49.4067,800,,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,2014-01-01 00:00:00,,,,,,,,,,2014-01-01 00:00:00,,0,0,0,0,0,7,0,0,0,2015-11-11 00:00:00,1,TELEMÉTRICA,0,2015-10-28 00:00:00,2015-11-11 00:00:00
8,83,,,23,SANTA CATARINA,23138000,PRESIDENTE GETÚLIO,451,CEMADEN,21,1,451,CEMADEN,21,,2,2749083,PRESIDENTE GETÚLIO_Rua Caminho Pinheiro,421400302,-27.0239,-49.635,258,,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,2014-01-01 00:00:00,,,,,,,,,,2014-01-01 00:00:00,,0,0,0,0,0,7,0,0,0,2015-11-11 00:00:00,1,TELEMÉTRICA,0,2015-10-28 00:00:00,2015-11-11 00:00:00
8,83,,,23,SANTA CATARINA,23138000,PRESIDENTE GETÚLIO,451,CEMADEN,21,1,451,CEMADEN,21,,2,2749084,PRESIDENTE GETÚLIO_Jardim Otilene,421400303,-27.0431,-49.6169,270,,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,2014-01-01 00:00:00,,,,,,,,,,2014-01-01 00:00:00,,0,0,0,0,0,7,0,0,0,2015-11-11 00:00:00,1,TELEMÉTRICA,0,2015-10-28 00:00:00,2015-11-11 00:00:00
8,83,,,23,SANTA CATARINA,23139000,PRESIDENTE NEREU,451,CEMADEN,21,1,451,CEMADEN,21,,2,2749085,PRESIDENTE NEREU_Prefeitura Municipal,421410201,-27.2777,-49.3896,391,,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,2014-01-01 00:00:00,,,,,,,,,,2014-01-01 00:00:00,,0,0,0,0,0,7,0,0,0,,1,TELEMÉTRICA,0,2015-10-28 00:00:00,
8,83,,,23,SANTA CATARINA,23144000,RIO DO OESTE,451,CEMADEN,21,1,451,CEMADEN,21,,2,2749086,RIO DO OESTE_Centro,421460701,-27.1954,-49.795,347,,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,2014-01-01 00:00:00,,,,,,,,,,2014-01-01 00:00:00,,0,0,0,0,0,7,0,0,0,,1,TELEMÉTRICA,0,2015-10-28 00:00:00,
8,83,,,23,SANTA CATARINA,23145000,RIO DO SUL,451,CEMADEN,21,1,451,CEMADEN,21,,2,2749087,RIO DO SUL_Centro,421480501,-27.218,-49.647,338,,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,2014-01-01 00:00:00,,,,,,,,,,2014-01-01 00:00:00,,0,0,0,0,0,7,0,0,0,,1,TELEMÉTRICA,0,2015-10-28 00:00:00,
8,83,,,23,SANTA CATARINA,23012500,APIÚNA,451,CEMADEN,21,1,451,CEMADEN,21,,2,2749088,RIO DO SUL_Canoas,421480502,-27.1327,-49.3954,429,,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,2014-01-01 00:00:00,,,,,,,,,,2014-01-01 00:00:00,,0,0,0,0,0,7,0,0,0,,1,TELEMÉTRICA,0,2015-10-28 00:00:00,
8,83,,,23,SANTA CATARINA,23145000,RIO DO SUL,451,CEMADEN,21,1,451,CEMADEN,21,,2,2749089,RIO DO SUL_Itoupava,421480503,-27.177,-49.64,357,,0,0,0,0,0,1,0,0,0,0,1,,,,,,,,,,,2014-01-01 00:00:00,,,,,,,,,,2014-01-01 00:00:00,,0,0,0,0,0,7,0,0,0,,1,TELEMÉTRICA,0,2015-10-28 00:00:00,
