DatesR,PotEvap,Precip,Prod,Pn,Ps,AE,Perc,PR,Q9,Q1,Rout,Exch,AExch1,AExch2,AExch,QR,QD,Qsim
2006-01-24,0.6,18.6,216.805036777989,18,5.39734767353239,0.6,1.08042160503354,13.6830739315012,4.85209728527432,0.317719909640751,56.4678931937076,0.182172656989696,0.182172656989696,0.182172656989696,0.364345313979391,2.65315147423564,0.499892566630447,3.15304404086608
2006-01-25,0.7,6.9,217.467682759918,6.2,1.75984863428823,0.7,1.09720265235918,5.53735401807095,9.60641151444021,0.721409157458242,61.8579608491949,0.211821452900157,0.211821452900157,0.211821452900157,0.423642905800315,4.42816531185303,0.933230610358399,5.36139592221143
2006-01-26,0.5,1.7,216.730178714844,1.2,0.34103497627462,0.5,1.07853902134852,1.9375040450739,6.15683743656374,0.881528007754031,63.2611207934163,0.291439889963935,0.291439889963935,0.291439889963935,0.58287977992787,5.04511738230634,1.17296789771797,6.21808528002431
2006-01-27,0.6,4.3,216.71273549599,3.7,1.0606575099711,0.6,1.07810072882524,3.71744321885414,2.6800645760723,0.553818301325574,61.8369362680523,0.315241571298081,0.315241571298081,0.315241571298081,0.630483142596162,4.41949067273429,0.869059872623655,5.28855054535795
2006-01-28,0.5,0.1,215.280165802141,0,0,0.489975788239242,1.04259390561013,1.04259390561013,2.66027303389185,0.31064641407139,60.783538727809,0.291093341266181,0.291093341266181,0.291093341266181,0.582186682532361,4.00476391540138,0.601739755337571,4.60650367073895
2006-01-29,0.3,0,213.977079022478,0,0,0.291962326734006,1.01112445292899,1.01112445292899,1.46621573901229,0.240710594183151,59.105611041293,0.274103971512391,0.274103971512391,0.274103971512391,0.548207943024782,3.41824739704069,0.514814565695542,3.93306196273623
2006-01-30,0.5,0.2,212.704483898393,0,0,0.491457231713351,0.981137892371838,0.981137892371838,0.912551404353448,0.145685580505242,57.3710587289098,0.24852202672845,0.24852202672845,0.24852202672845,0.497044053456899,2.89562574346509,0.394207607233692,3.28983335069879
2006-01-31,0.4,0.1,211.460998328729,0,0,0.39094910418751,0.952536465475688,0.952536465475688,0.885440382785627,0.102373869398516,55.9563742946891,0.223918214303384,0.223918214303384,0.223918214303384,0.447836428606767,2.52404303130967,0.3262920837019,2.85033511501157
2006-02-01,0.5,0,210.055966740998,0,0,0.483996696641019,0.921034891090155,0.921034891090155,0.859064237375272,0.0973036616037474,54.7738932967225,0.205181348291679,0.205181348291679,0.205181348291679,0.410362696583358,2.24672658363353,0.302485009895426,2.54921159352895
2006-02-02,0.7,1.2,209.3174856341,0.5,0.166337737668386,0.7,0.904818844567087,1.2384811068987,0.874542994974522,0.0967094343840968,53.7999434010718,0.190402232598855,0.190402232598855,0.190402232598855,0.38080446519771,2.03889512322412,0.287111666982952,2.32600679020707
2006-02-03,0.6,22.3,215.124626042499,21.7,6.84593690135478,0.6,1.0387964929554,15.8928595916006,2.86799618320288,0.205928681274922,54.6315243741123,0.178813688696643,0.178813688696643,0.178813688696643,0.357627377393285,2.21522889885901,0.384742369971564,2.59997126883058
2006-02-04,0.4,12.1,217.415067602595,11.7,3.38630410271243,0.4,1.09586254261633,9.4095584399039,10.5865289278539,0.644836847624332,61.2306204799102,0.188675718294251,0.188675718294251,0.188675718294251,0.377351436588501,4.17610854035028,0.833512565918582,5.00962110626886
2006-02-05,0.4,6.3,217.958387931671,5.9,1.65308530745253,0.4,1.10976497837652,5.35667967092399,9.25516391740913,1.06608818328244,64.8976381621198,0.281225506612755,0.281225506612755,0.281225506612755,0.56245101322551,5.86937174181227,1.3473136898952,7.21668543170747
2006-02-06,0.4,0.6,216.931169034274,0.2,0.0563807912169825,0.4,1.08359968861457,1.22721889739758,5.11489250614141,0.850379110671455,64.6307343316654,0.344719235078745,0.344719235078745,0.344719235078745,0.68943847015749,5.72651557167451,1.1950983457502,6.92161391742471
2006-02-07,0.4,3.5,216.738769558717,3.1,0.886355459368513,0.4,1.07875493492494,3.29239947555643,2.18145585570222,0.461191648069482,62.4658908233505,0.339782660726325,0.339782660726325,0.339782660726325,0.679565321452649,4.68608202474347,0.800974308795807,5.48705633353927
2006-02-08,0.4,0.4,215.686209336903,0,0,0.4,1.05256022181403,1.05256022181403,2.27494673413193,0.259266325519025,60.9678406596692,0.30158843165395,0.30158843165395,0.30158843165395,0.603176863307899,4.07458532946721,0.560854757172975,4.63544008664019
2006-02-09,0.5,4.9,215.916084969657,4.4,1.28811224846596,0.5,1.05823661571165,4.17012436724569,1.77903829872055,0.232534581833616,59.4815916674053,0.277023903171189,0.277023903171189,0.277023903171189,0.554047806342379,3.54231119415567,0.509558485004805,4.05186967916047
2006-02-10,0.5,1.4,215.14201718752,0.9,0.265152748567613,0.5,1.0392205307053,1.67406778213769,2.82391735851921,0.244948403150907,59.1325924140455,0.254099277972139,0.254099277972139,0.254099277972139,0.508198555944278,3.42701588985107,0.499047681123046,3.92606357097411
2006-02-11,0.4,4.7,215.371502789994,4.3,1.27431468034408,0.4,1.0448290778695,4.07051439752542,2.29994753596924,0.286459211411462,58.4653561239474,0.248919324439921,0.248919324439921,0.248919324439921,0.497838648879842,3.21610315050729,0.535378535851383,3.75148168635868
2006-02-12,0.2,0.2,214.351417905855,0,0,0.2,1.02008488413874,1.02008488413874,2.8089155365555,0.278601405372954,58.3366802100057,0.239226614576859,0.239226614576859,0.239226614576859,0.478453229153719,3.17681806507405,0.517828019949814,3.69464608502386
2006-02-13,0.1,2.3,214.007239109632,2.2,0.667665220678279,0.1,1.01184401690192,2.54417879622364,1.71344491458945,0.261029016208063,57.3873400780345,0.237388887227656,0.237388887227656,0.237388887227656,0.474777774455312,2.90017393378838,0.498417903435719,3.39859183722409
2006-02-14,0.3,0.5,213.078891349341,0.2,0.0615366539571946,0.3,0.989884414248144,1.12834776029095,1.81126002907962,0.200217650894911,56.7071885335566,0.224140703560673,0.224140703560673,0.224140703560673,0.448281407121347,2.71555227711817,0.424358354455585,3.13991063157375
2006-02-15,0.5,0,211.637240929056,0,0,0.485101745788189,0.956548674496318,0.956548674496318,1.27569655622327,0.175263809967817,55.7293145196983,0.214979873388018,0.214979873388018,0.214979873388018,0.429959746776035,2.46855044346955,0.390243683355835,2.85879412682538
2006-02-16,0.3,0,210.41766663971,0,0,0.290511656238259,0.92906263310795,0.92906263310795,0.891641839581315,0.128180501077571,54.6122448330096,0.202282052038457,0.202282052038457,0.202282052038457,0.404564104076914,2.21099357830854,0.330462553116028,2.54145613142456
2006-02-17,0.4,0,209.130283568938,0,0,0.386638023347982,0.900745047424599,0.900745047424599,0.838110710286666,0.0983464772000657,53.6336477948839,0.188442777343998,0.188442777343998,0.188442777343998,0.376885554687996,2.00515052575634,0.286789254544064,2.2919397803004
2006-02-18,0.5,5.6,209.913981619226,5.1,1.70159703106471,0.5,0.917898980776164,4.31630194971145,1.23967346602626,0.115913960032281,53.1419855321762,0.176886655884504,0.176886655884504,0.176886655884504,0.353773311769007,1.90822238461841,0.292800615916784,2.2010230005352
2006-02-19,0.6,3.9,210.083404839062,3.3,1.09106511175178,0.6,0.921641891915775,3.13057678016399,3.05865506474413,0.215452789282756,54.2410816479257,0.171276040833128,0.171276040833128,0.171276040833128,0.342552081666255,2.13083498982782,0.386728830115884,2.5175638199437
2006-02-20,0.7,6.2,210.942551496242,5.5,1.79995940665455,0.7,0.940812749475085,4.64085334282053,3.24045630271443,0.339346788640046,55.2991510420346,0.183998207209648,0.183998207209648,0.183998207209648,0.367996414419296,2.36638511581511,0.523344995849694,2.88973011166481
2006-02-21,0.7,1.9,210.405338659136,1.2,0.391575254552877,0.7,0.928788091658556,1.73721283710568,3.51659360030751,0.368826130751419,56.3816387265401,0.196869763953806,0.196869763953806,0.196869763953806,0.393739527907612,2.63097567975589,0.565695894705225,3.19667157446111
2006-02-22,0.9,0,208.645465783789,0,0,0.869609289024474,0.890263586322556,0.890263586322556,2.03577605206194,0.321084854659928,56.0747051872512,0.2106911662139,0.2106911662139,0.2106911662139,0.421382332427801,2.55340075756472,0.531776020873828,3.08517677843855
2006-02-23,0.8,7.7,210.034779887581,6.9,2.30988050881775,0.8,0.920566405025293,5.51068589620755,1.54233917630157,0.219402775625737,55.4273221231998,0.206704005688389,0.206704005688389,0.206704005688389,0.413408011376779,2.39642624604137,0.426106781314126,2.8225330273555
2006-02-24,0.9,3.1,209.846607430979,2.2,0.728241509086826,0.9,0.916413965689424,2.3881724566026,3.6539900897952,0.263812763425255,56.5939281472818,0.198471446823866,0.198471446823866,0.198471446823866,0.396942893647733,2.68585551253702,0.462284210249122,3.14813972278615
2006-02-25,1,0.6,208.571620096415,0,0,0.986311554785521,0.888675779778033,0.888675779778033,2.58426733224039,0.343319019931231,56.682596823649,0.213480805721437,0.213480805721437,0.213480805721437,0.426961611442874,2.70907946159467,0.556799825652668,3.26587928724734
2006-02-26,1.2,0,206.569118811972,0,0,1.15601789600509,0.846483388438522,0.846483388438522,1.09269051152801,0.228143429770416,55.561664560602,0.214653750691553,0.214653750691553,0.214653750691553,0.429307501383107,2.42827652526658,0.442797180461969,2.87107370572855
2006-02-27,1.2,2.4,206.15573537459,1.2,0.424595132333827,1.2,0.837978569715198,1.61338343738137,0.865283829683675,0.119774993122855,54.4512127120006,0.200160217925845,0.200160217925845,0.200160217925845,0.400320435851691,2.17589589621084,0.319935211048701,2.49583110725954
2006-02-28,1,6.9,207.364871795189,5.9,2.0721877739981,1,0.863051353399179,4.69086357940108,1.68104611026017,0.137594276588551,54.1972286972933,0.186505156888352,0.186505156888352,0.186505156888352,0.373010313776705,2.12153528185582,0.324099433476903,2.44563471533273
2006-03-01,0.9,0.7,206.3308463931,0,0,0.892452626234314,0.841572775854945,0.841572775854945,3.13281238238493,0.242057952867215,55.1757429481849,0.183478075691977,0.183478075691977,0.183478075691977,0.366956151383955,2.33777620718538,0.425536028559192,2.76331223574457
2006-03-02,0.9,5.7,207.158570229868,4.8,1.68645494269149,0.9,0.858731105923089,3.9722761632316,1.91075046292643,0.289170313763138,54.9871765237966,0.195336346442814,0.195336346442814,0.195336346442814,0.390672692885628,2.29465323375751,0.484506660205952,2.77915989396346
